QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
2,0,0,0,0,0,0,0,0,118480,Slow
3,0,0,0,0,0,0,0,0,115712,Slow
1,0,0,0,0,0,0,0,0,8900,Slow
2,0,0,0,0,0,0,0,0,8483,Slow
3,0,0,0,0,0,0,0,0,7901,Slow
1,86.2745098,96.95927884,0,0,86.2745098,96.95927884,10.68476903,57425,147761,Fast
2,92,99.23996999,86.2745098,96.95927884,5.725490196,2.280691159,7.239969994,73246,121311,Fast
3,96,99.61620873,92,99.23996999,4,0.376238733,3.616208727,101321,116209,Fast
1,22.22222222,73.56156502,0,0,22.22222222,73.56156502,51.3393428,158,3476,Fast
2,80,95.49363605,22.22222222,73.56156502,57.77777778,21.93207103,15.49363605,1571,2907,Fast
3,92.85714286,99.37597504,80,95.49363605,12.85714286,3.882338988,6.518832182,1868,2564,Fast
1,31.57894737,76.97297297,0,0,31.57894737,76.97297297,45.3940256,320,1850,Fast
2,53.84615385,84.76585655,31.57894737,76.97297297,22.26720648,7.792883577,30.9197027,759,1687,Fast
3,71.42857143,92.34205488,53.84615385,84.76585655,17.58241758,7.576198332,20.91348345,779,1567,Fast
1,80.76923077,95.47612028,0,0,80.76923077,95.47612028,14.70688951,32803,67840,Fast
2,82.69230769,96.88295351,80.76923077,95.47612028,1.923076923,1.406833232,14.19064582,36233,68366,Fast
3,76.92307692,93.47558588,82.69230769,96.88295351,-5.769230769,-3.407367632,16.55250896,39566,71516,Fast
1,0,0,0,0,0,0,0,0,6549,Slow
2,0,0,0,0,0,0,0,0,6806,Slow
3,0,0,0,0,0,0,0,0,6671,Slow
1,17.64705882,74.98691784,0,0,17.64705882,74.98691784,57.33985902,255,1911,Fast
2,69.23076923,95.34261242,17.64705882,74.98691784,51.58371041,20.35569458,26.11184319,723,1868,Fast
3,78.57142857,97.33959311,69.23076923,95.34261242,9.340659341,1.996980695,18.76816454,975,1917,Fast
1,100,100,0,0,100,100,0,118592,119431,Fast
2,100,100,100,100,0,0,0,123979,124602,Fast
3,100,100,100,100,0,0,0,122118,122839,Fast
1,97.91666667,99.98705425,0,0,97.91666667,99.98705425,2.070387588,74646,84970,Fast
2,97.95918367,99.98537568,97.91666667,99.98705425,0.042517007,-0.001678578,2.026192003,82048,88893,Fast
3,100,100,97.95918367,99.98537568,2.040816327,0.014624324,0,78466,84585,Fast
