QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
1,100,100,0,0,100,100,0,282414,284072,Fast
2,100,100,100,100,0,0,0,287974,289704,Fast
3,100,100,100,100,0,0,0,289224,290838,Fast
1,96.15384615,99.75062553,0,0,96.15384615,99.75062553,3.596779374,110673,119499,Fast
2,96,99.83445574,96.15384615,99.75062553,-0.153846154,0.083830212,3.834455741,106252,115377,Fast
3,96,99.83421778,96,99.83445574,0,-0.000237958,3.834217783,110842,120037,Fast
1,100,100,0,0,100,100,0,643344,653563,Fast
2,100,100,100,100,0,0,0,637975,648345,Fast
3,100,100,100,100,0,0,0,626332,636686,Fast
1,0,0,0,0,0,0,0,0,7764,Slow
2,0,0,0,0,0,0,0,0,8777,Slow
3,0,0,0,0,0,0,0,0,8462,Slow
1,0,0,0,0,0,0,0,0,265126,Slow
2,0,0,0,0,0,0,0,0,328831,Slow
3,0,0,0,0,0,0,0,0,377960,Slow
1,100,100,0,0,100,100,0,19928,22293,Fast
2,97.77777778,99.93452927,100,100,-2.222222222,-0.065470735,2.156751488,20637,22911,Fast
3,100,100,97.77777778,99.93452927,2.222222222,0.065470735,0,19482,21543,Fast
1,100,100,0,0,100,100,0,38115,38115,Fast
2,100,100,100,100,0,0,0,37212,37212,Fast
3,100,100,100,100,0,0,0,36156,36156,Fast
1,0,0,0,0,0,0,0,0,73853,Slow
2,0,0,0,0,0,0,0,0,71070,Slow
3,0,0,0,0,0,0,0,0,64266,Slow
1,0,0,0,0,0,0,0,0,8350,Slow
2,0,0,0,0,0,0,0,0,8178,Slow
3,0,0,0,0,0,0,0,0,8622,Slow
1,38.70967742,84.29844098,0,0,38.70967742,84.29844098,45.58876356,1479,8980,Fast
2,90,99.11395245,38.70967742,84.29844098,51.29032258,14.81551147,9.113952445,4565,8916,Fast
3,96.55172414,99.8567042,90,99.11395245,6.551724138,0.742751751,3.304980059,6268,9770,Fast
1,96.2962963,98.15767806,0,0,96.2962963,98.15767806,1.861381761,6896,9716,Fast
2,96.15384615,98.10291946,96.2962963,98.15767806,-0.142450142,-0.054758598,1.949073305,7401,8803,Fast
3,93.33333333,97.9739508,96.15384615,98.10291946,-2.820512821,-0.128968663,4.640617463,7852,8983,Fast
1,0,0,0,0,0,0,0,0,740,Slow
2,0,0,0,0,0,0,0,0,819,Slow
3,0,0,0,0,0,0,0,0,895,Slow
1,0,0,0,0,0,0,0,0,594,Slow
2,0,0,0,0,0,0,0,0,349,Slow
3,0,0,0,0,0,0,0,0,360,Slow
1,100,100,0,0,100,100,0,807774,807924,Fast
2,100,100,100,100,0,0,0,791840,791980,Fast
3,100,100,100,100,0,0,0,800702,800790,Fast
1,72.72727273,93.63057325,0,0,72.72727273,93.63057325,20.90330052,349,1099,Fast
2,50,76.94038245,72.72727273,93.63057325,-22.72727273,-16.6901908,26.94038245,258,889,Fast
3,77.77777778,95.9375,50,76.94038245,27.77777778,18.99711755,18.15972222,436,1280,Fast
1,100,100,0,0,100,100,0,46524,46524,Fast
2,100,100,100,100,0,0,0,45208,45208,Fast
3,100,100,100,100,0,0,0,46307,46307,Fast
1,0,0,0,0,0,0,0,0,2781,Fast
2,0,0,0,0,0,0,0,0,2960,Fast
3,39.28571429,85.90764331,0,0,39.28571429,85.90764331,46.62192903,577,2512,Fast
1,100,100,0,0,100,100,0,1963430,1971670,Fast
2,100,100,100,100,0,0,0,2154752,2160229,Fast
3,100,100,100,100,0,0,0,2053133,2057745,Fast
1,100,100,0,0,100,100,0,1256552,1256552,Fast
2,100,100,100,100,0,0,0,1364661,1364661,Fast
3,100,100,100,100,0,0,0,1441685,1441685,Fast
1,100,100,0,0,100,100,0,92250,92250,Fast
2,100,100,100,100,0,0,0,94669,94669,Fast
3,100,100,100,100,0,0,0,93625,93625,Fast
1,95.65217391,99.51664876,0,0,95.65217391,99.51664876,3.864474852,3612,3724,Fast
2,95.45454545,99.60552268,95.65217391,99.51664876,-0.197628458,0.088873918,4.150977228,3476,3549,Fast
3,95,99.66187658,95.45454545,99.60552268,-0.454545455,0.056353903,4.661876585,3489,3549,Fast
1,54.16666667,91.28462739,0,0,54.16666667,91.28462739,37.11796072,2977,20504,Fast
2,71.11111111,94.56504682,54.16666667,91.28462739,16.94444444,3.280419427,23.45393571,9900,19117,Fast
3,76.59574468,96.02652606,71.11111111,94.56504682,5.48463357,1.461479247,19.43078138,10181,18397,Fast
1,0,0,0,0,0,0,0,0,14331,Fast
2,0,0,0,0,0,0,0,0,15898,Fast
3,57.14285714,94.49813168,0,0,57.14285714,94.49813168,37.35527454,2321,7761,Fast
1,100,100,0,0,100,100,0,134976,136928,Fast
2,100,100,100,100,0,0,0,135146,136627,Fast
3,100,100,100,100,0,0,0,136325,137517,Fast
1,100,100,0,0,100,100,0,1050198,1050198,Fast
2,100,100,100,100,0,0,0,950714,950714,Fast
3,100,100,100,100,0,0,0,1028041,1028041,Fast
1,94.28571429,99.09080447,0,0,94.28571429,99.09080447,4.80509018,14233,17378,Fast
2,86.84210526,99.34442998,94.28571429,99.09080447,-7.443609023,0.253625514,12.50232472,17911,21508,Fast
3,81.57894737,98.79635022,86.84210526,99.34442998,-5.263157895,-0.548079756,17.21740285,21615,25755,Fast
1,0,0,0,0,0,0,0,0,60945,Medium
2,0,0,0,0,0,0,0,0,58549,Medium
3,0,0,0,0,0,0,0,0,49942,Medium
1,16.66666667,84.30107527,0,0,16.66666667,84.30107527,67.6344086,35,465,Fast
2,66.66666667,96.91991786,16.66666667,84.30107527,50,12.6188426,30.2532512,323,487,Fast
3,100,100,66.66666667,96.91991786,33.33333333,3.080082136,0,334,449,Fast
1,0,0,0,0,0,0,0,0,7795,Fast
2,63.33333333,92.95470884,0,0,63.33333333,92.95470884,29.62137551,2071,6955,Fast
3,88.57142857,98.51247601,63.33333333,92.95470884,25.23809524,5.557767165,9.941047436,3986,6252,Fast
1,92.85714286,97.44722631,0,0,92.85714286,97.44722631,4.590083456,1759,2037,Fast
2,100,100,92.85714286,97.44722631,7.142857143,2.552773687,0,1718,1979,Fast
